Country,Rank-2015,Happiness-Score-2015,GDP-2015,Social-Support-2015,Healthy-Life-Expectancy-2015,Freedom-2015,Trust-2015,Generosity-2015,Dystopia-2015,Region,Rank-2016,Happiness-Score-2016,GDP-2016,Social-Support-2016,Healthy-Life-Expectancy-2016,Freedom-2016,Trust-2016,Generosity-2016,Dystopia-2016,Rank-2017,Happiness-Score-2017,GDP-2017,Social-Support-2017,Healthy-Life-Expectancy-2017,Freedom-2017,Generosity-2017,Trust-2017,Dystopia-2017,Rank-2018,Happiness-Score-2018,GDP-2018,Social-Support-2018,Healthy-Life-Expectancy-2018,Freedom-2018,Generosity-2018,Trust-2018,Dystopia-2018,Rank-2019,Happiness-Score-2019,GDP-2019,Social-Support-2019,Healthy-Life-Expectancy-2019,Freedom-2019,Generosity-2019,Trust-2019,Dystopia-2019,Rank-2020,Happiness-Score-2020,GDP-2020,Social-Support-2020,Healthy-Life-Expectancy-2020,Freedom-2020,Generosity-2020,Trust-2020,Dystopia-2020,Rank-2021,Happiness-Score-2021,GDP-2021,Social-Support-2021,Healthy-Life-Expectancy-2021,Freedom-2021,Generosity-2021,Trust-2021,Dystopia-2021,Rank-2022,Happiness-Score-2022,Dystopia-2022,GDP-2022,Social-Support-2022,Healthy-Life-Expectancy-2022,Freedom-2022,Generosity-2022,Trust-2022
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,"5,173","1,098","1,458","1,093",560,601,23,341
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,"5,164","2,531",785,621,369,367,388,103
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,"5,122","2,844",636,670,309,405,178,80
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,"5,075","2,658",950,405,355,431,130,146
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,"5,003","2,667",570,560,326,571,165,145
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,"4,609","2,304",899,476,424,185,195,125
Palestinian Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,"4,483","1,368","1,148",957,521,336,73,79
Eswatini Kingdom of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,"4,396","1,688","1,274",786,197,259,38,154
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,"4,339","2,148",670,645,378,202,143,154
Mali,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,Sub-Saharan Africa,135,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,127,4.19000005722046,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421,1.66819095611572,118,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2.13,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2.06,114,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232,117,4.723,0.387,0.59,0.11,0.384,0.164,0.072,3.016,123,"4,479","2,373",792,483,311,350,128,42
Congo (Brazzaville),139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,Sub-Saharan Africa,127,4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,124,4.29099988937378,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265,1.72413563728333,114,4.559,0.682,0.811,0.343,0.514,0.091,0.077,2.041,103,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2.262,88,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534,83,5.342,0.518,0.392,0.307,0.381,0.144,0.124,3.476,,,,,,,,,
Comoros,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,Sub-Saharan Africa,138,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,,,,,,,,,,,,,,,,,,,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078,1.942,134,4.288599968,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2.17276907,131,4.289,0.488,0.367,0.279,0.202,0.241,0.101,2.61,,,,,,,,,
Uganda,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,Sub-Saharan Africa,145,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,133,4.08099985122681,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738,1.526362657547,135,4.161,0.322,1.09,0.237,0.45,0.259,0.061,1.742,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06,1.677,126,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093,119,4.636,0.364,0.718,0.24,0.398,0.267,0.054,2.596,117,"4,603","1,842",777,875,418,402,222,66
Senegal,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,Sub-Saharan Africa,128,4.219,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,115,4.53499984741211,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,1.78964614868164,109,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2.026,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2.009,101,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949,92,5.132,0.518,0.558,0.357,0.381,0.158,0.088,3.071,103,"5,046","2,419",933,530,447,494,143,81
Gabon,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,Sub-Saharan Africa,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,118,4.46500015258789,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,1.32291626930237,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052,1.714,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,1.595,108,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552,112,4.852,1.037,0.707,0.362,0.424,0.058,0.064,2.201,106,"4,958","1,892","1,459",738,396,343,32,99
Niger,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,Sub-Saharan Africa,142,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,135,4.02799987792969,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834,1.87398338317871,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2.283,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2.742,103,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577,96,5.074,0.162,0.402,0.167,0.516,0.2,0.157,3.47,,,,,,,,,
Cambodia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,Southeastern Asia,140,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,129,4.16800022125244,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,1.04294109344482,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065,1.322,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,1.464,106,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037,114,4.83,0.603,0.68,0.426,0.702,0.21,0.061,2.148,114,"4,640","1,410","1,019",732,505,740,166,68
Tanzania,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,Sub-Saharan Africa,149,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,153,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,0.621130466461182,153,3.303,0.455,0.991,0.381,0.481,0.27,0.097,0.628,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147,0.531,148,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,142,3.623,0.433,0.54,0.3,0.549,0.307,0.231,1.263,139,"3,702",735,848,597,425,578,248,270
Madagascar,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,Sub-Saharan Africa,148,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,144,3.64400005340576,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153,1.58461260795593,143,3.774,0.262,0.908,0.402,0.221,0.155,0.049,1.777,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,1.83,137,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418,135,4.208,0.266,0.503,0.341,0.207,0.185,0.087,2.62,,,,,,,,,
Central African Republic,148,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,,,,,,,,,,,155,2.69300007820129,0,0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2.06600475311279,155,3.083,0.024,0,0.01,0.305,0.218,0.038,2.488,155,3.083,0.026,0,0.105,0.225,0.235,0.035,2.457,149,3.475899935,0.041072082,0,0,0.292814463,0.253513217,0.028264718,2.860197544,,,,,,,,,,,,,,,,,,
Chad,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,Sub-Saharan Africa,144,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,137,3.93600010871887,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,2.07123804092407,131,4.301,0.358,0.907,0.053,0.189,0.181,0.060,2.553,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2.592,127,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651,128,4.355,0.255,0.353,0,0.24,0.215,0.084,3.209,,,,,,,,,
Guinea,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,Sub-Saharan Africa,151,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,149,3.50699996948242,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,1.55231189727783,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094,1.944,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2.325,102,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809,102,4.984,0.42,0.399,0.206,0.384,0.25,0.111,3.216,109,"4,891","2,538",848,566,275,334,214,116
Ivory Coast,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,Sub-Saharan Africa,139,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,128,4.17999982833862,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938,1.84496426582336,107,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2.462,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2.739,85,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501,85,5.306,0.669,0.409,0.052,0.438,0.177,0.092,3.469,88,"5,235","2,652","1,094",442,322,451,149,124
Burkina Faso,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,Sub-Saharan Africa,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,134,4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,1.72721290588379,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2.144,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2.275,112,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418,113,4.834,0.364,0.472,0.179,0.381,0.182,0.122,3.133,113,"4,670","2,313",779,565,320,382,186,126
Afghanistan,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,Southern Asia,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,141,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,2.15080118179321,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2.196,154,3.203,0.35,0.517,0.361,0,0.158,0.025,1.792,153,2.566900015,0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785,1.507235646,149,2.523,0.37,0,0.126,0,0.122,0.01,1.895,146,"2,404","1,263",758,0,289,0,89,5
Rwanda,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,Sub-Saharan Africa,152,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,151,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,0.540061235427856,151,3.408,0.332,0.896,0.4,0.636,0.2,0.444,0.5,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411,0.467,150,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,147,3.415,0.364,0.202,0.407,0.627,0.227,0.493,1.095,,,,,,,,,
Benin,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,Sub-Saharan Africa,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,143,3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,1.88563096523285,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2.481,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,3.05,86,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727,99,5.045,0.507,0.058,0.196,0.457,0.166,0.178,3.482,115,"4,623","2,458",932,64,335,479,127,230
Syria,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,Middle East and Northern Africa,156,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,152,3.46199989318848,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,1.06157350540161,150,3.462,0.689,0.382,0.539,0.088,0.376,0.144,1.244,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,Sub-Saharan Africa,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,154,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249,1.68302416801453,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.752,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2.326,140,3.775300026,0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378,140,3.775,0,0.062,0.155,0.298,0.172,0.212,2.876,,,,,,,,,
Togo,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,Sub-Saharan Africa,155,3.303,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,150,3.49499988555908,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467,1.83722925186157,139,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2.32,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2.273,135,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251,136,4.107,0.254,0.239,0.203,0.289,0.209,0.107,2.806,135,"4,112","2,061",771,322,360,292,174,132
Puerto Rico,,,,,,,,,,Latin America and Caribbean,15,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,Latin America and Caribbean,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,50,5.95599985122681,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,2.63195562362671,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089,2.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,Sub-Saharan Africa,76,5.44,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,93,5.15100002288818,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,3.11748456954956,98,4.982,0,0.712,0.115,0.674,0.238,0.282,2.961,112,4.668,0,0.698,0.268,0.559,0.243,0.27,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland Region,,,,,,,,,,Sub-Saharan Africa,97,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,Sub-Saharan Africa,113,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,111,4.57399988174438,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,1.4818902015686,119,4.441,0.874,1.281,0.365,0.519,0.051,0.064,1.287,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056,1.443,122,4.571100235,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,1.503033161,124,4.574,0.882,0.801,0.262,0.411,0.091,0.059,2.068,124,"4,459","1,414","1,292",877,354,384,67,71
South Sudan,,,,,,,,,,Sub-Saharan Africa,143,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,147,3.59100008010864,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,1.87956738471985,154,3.254,0.337,0.608,0.177,0.112,0.224,0.106,1.69,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091,1.374,152,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278,,,,,,,,,,,,,,,,,,
